序号,时间,名称
316,"30.12.2023
14:38",王蒙作品精选集（套装16本：解读老子、庄子、论语、孟子、红楼梦、青春万岁、活动变人形、青狐、别有风光、惶惑、杂色、游刃有余、闷与狂、演讲录）
317,"30.12.2023
14:36",道德经
318,"30.12.2023
14:36",戴建业作品集 戴建业精读世说新语+戴建业精读老子+澄明之境：陶渊明新论+诗囚：孟郊论稿+两宋诗词简史+六朝文学史+文本阐释的内与外+论中国古代的知识分类与典籍分类+你听懂了没有(套装共9册)
319,"30.12.2023
11:02",日落九世纪：大唐帝国的衰亡
320,"30.12.2023
07:22",一套书读懂中国人文社会
321,"30.12.2023
07:22",讲给大家的中国历史（套装共9册）
322,"30.12.2023
07:22",要钱还是要生活：没有财务自由，也能提前退休
323,"30.12.2023
07:21",柏杨白话版资治通鉴
324,"30.12.2023
07:21",美丽的数学
325,"30.12.2023
07:03",Mathematics Going Forward: Collected Mathematical Brushstrokes
1,"30.05.2024
16:38",Human Compatible: Artificial Intelligence and the Problem of Control
2,"30.05.2024
16:36",The Alignment Problem
3,"30.05.2024
14:34",The unreal life of Oscar Zariski
4,"30.05.2024
14:34",Learning the vi and Vim Editors: Power and Agility Beyond Just Text Editing
5,"30.05.2024
14:30","Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control"
116,"30.04.2024
16:29",User Experience Design in the Era of Automated Driving
117,"30.04.2024
16:28",Automated Driving and Driver Assistance Systems
118,"30.04.2024
15:46",Multi-Agent Coordination: A Reinforcement Learning Approach
119,"30.04.2024
15:45",Multi-Agent Machine Learning: A Reinforcement Approach
120,"30.04.2024
15:45",Cooperative Control of Multi-Agent Systems: An Optimal and Robust Perspective
121,"30.04.2024
15:45",Multi-Agent Machine Learning
122,"30.04.2024
15:44",Agents and Multi-Agent Systems: Technologies and Applications 2018
123,"30.04.2024
15:44",Multi-agent systems: simulation and applications
124,"30.04.2024
15:44",Formation control of multi-agent systems: a graph rigidity approach
125,"30.04.2024
15:44",Multi-Agent Coordination: A Reinforcement Learning Approach
53,"30.04.2024
06:22",深度学习与计算机视觉：算法原理、框架应用与代码实现
54,"30.04.2024
06:22",机器翻译
55,"30.04.2024
06:22",人工智能之信息检索与推荐
56,"30.04.2024
06:22",人工智能之知识图谱【文字版】
57,"30.04.2024
06:21",机器翻译：统计建模与深度学习方法
