序号,时间,名称,日期
1,16:38:00,Human Compatible: Artificial Intelligence and the Problem of Control,2024-05-30
2,16:36:00,The Alignment Problem,2024-05-30
3,14:34:00,The unreal life of Oscar Zariski,2024-05-30
4,14:34:00,Learning the vi and Vim Editors: Power and Agility Beyond Just Text Editing,2024-05-30
5,14:30:00,"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control",2024-05-30
1,07:09:00,"Transformer, BERT, and GPT: Including ChatGPT and Prompt Engineering (MLI Generative AI Series)",2024-05-29
6,17:44:00,Reality and Its Order,2024-05-28
7,17:40:00,The AI Advantage: How to Put the Artificial Intelligence Revolution to Work,2024-05-28
8,17:40:00,Learn AI-Assisted Python Programming with GitHub Copilot and ChatGPT,2024-05-28
9,17:40:00,"Regular Expression Puzzles and AI Coding Assistants: 24 puzzles solved by the author, with and without assistance from Copilot, ChatGPT and more",2024-05-28
10,17:40:00,技术陷阱：从工业革命到AI时代，技术创新下的资本、劳动与权力（芝加哥大学推荐必读书目，中产阶级如何应对技术创新导致的失业焦虑？后浪出品）,2024-05-28
11,17:36:00,SpaceX's Dragon: America's Next Generation Spacecraft,2024-05-28
2,14:29:00,凸优化,2024-05-28
3,14:29:00,"Introduction to Applied Linear Algebra: Vectors, Matrices, and Least Squares",2024-05-28
4,14:02:00,科学：无尽的前沿（华为创始人任正非、西湖大学校长施一公亲自推荐！吴军、华先胜等超20位国内外大咖一致推荐！这本书成就了美国，值得我们借鉴，而你也会从中受益。）,2024-05-28
5,05:26:00,Physics and Philosophy: The Revolution In Modern Science,2024-05-28
6,05:10:00,"Modern classical physics: optics, fluids, plasmas, elasticity, relativity, and statistical physics",2024-05-28
7,05:09:00,Graphs and digraphs,2024-05-28
8,05:02:00,Classical and quantum computation,2024-05-28
9,04:28:00,Machine Learning in Modeling and Simulation,2024-05-28
10,04:22:00,深度学习,2024-05-28
11,04:22:00,Deep Learning.,2024-05-28
12,11:13:00,Companion to the Papers of Donald Knuth,2024-05-27
13,11:13:00,Mathematics for the analysis of algorithms,2024-05-27
14,11:12:00,MMIXware: A RISC Computer for the Third Millennium,2024-05-27
15,11:12:00,Leaders in Computing: Changing the digital world,2024-05-27
16,11:09:00,Literate Programming,2024-05-27
17,11:00:00,Récoltes et semailles,2024-05-27
18,11:00:00,"Récoltes et semailles, I",2024-05-27
19,15:33:00,Souvenirs d'apprentissage,2024-05-26
20,14:45:00,The Apprenticeship of a Mathematician,2024-05-26
21,17:23:00,Perfect Rigor: A Genius and the Mathematical Breakthrough of the Century,2024-05-25
22,16:26:00,人生十二法则2（现象级畅销书《人生十二法则》作者全新力作，给面对生活暴击但依旧善良的人，非凡的勇气与智慧）,2024-05-25
23,16:26:00,人生十二法则,2024-05-25
24,15:00:00,12 Rules For Life,2024-05-25
25,14:30:00,桃花扇（中国古典文学读本丛书）,2024-05-25
26,14:29:00,中华经典名剧：桃花扇 (中华书局出品),2024-05-25
27,08:32:00,到奴役之路 (The Road to Serfdom) [殷海光全集4],2024-05-25
28,08:05:00,Der Weg zur Knechtschaft,2024-05-25
29,07:17:00,Google系统架构解密 构建安全可靠的系统 2021,2024-05-25
30,07:51:00,Introduction to Algorithms,2024-05-24
31,07:48:00,Algorithms Unlocked,2024-05-24
32,07:48:00,Introduction to Programming in Python: An Interdisciplinary Approach,2024-05-24
33,07:48:00,An Introduction to the Analysis of Algorithms,2024-05-24
34,07:47:00,Introduction to algorithms,2024-05-24
35,07:38:00,Introduction to Computation and Programming Using Python,2024-05-24
36,07:38:00,Python编程导论.第2版,2024-05-24
37,07:37:00,C程序设计语言,2024-05-24
38,07:37:00,The C Programming Language,2024-05-24
39,07:36:00,C++ Primer,2024-05-24
40,15:49:00,纯粹理性批判,2024-05-23
41,15:40:00,康德《纯粹理性批判》句读,2024-05-23
42,13:20:00,Immanuel Kant: Die drei Kritiken - Kritik der reinen Vernunft. Kritik der praktischen Vernunft. Kritik der Urteilskraft,2024-05-23
43,13:18:00,Kritik der reinen Vernunft,2024-05-23
44,08:59:00,Quand la machine apprend,2024-05-21
45,07:40:00,直觉泵和其他思考工具 = Intuition pumps and other tools for thinking,2024-05-21
46,07:39:00,创新者的窘境（全新修订版）,2024-05-21
47,05:36:00,幸福的方法,2024-05-21
48,05:36:00,幸福的方法,2024-05-21
49,05:24:00,算法详解 卷1 算法基础,2024-05-21
50,05:18:00,Introduction to Probability and Statistics (Metric Version),2024-05-21
